0 0.7264419794082642 0.2457002457002457 [100, 0, 0, 307, 0.2457002457002457, 0]
100 0.556038498878479 0.7542997542997543 [0, 307, 100, 0, 0, 0.7542997542997543]
200 0.2663019895553589 0.9066339066339066 [69, 300, 31, 7, 0.9078947368421053, 0.9063444108761329]
300 0.019436582922935486 0.995085995085995 [99, 306, 1, 1, 0.99, 0.996742671009772]
400 0.0008082540007308125 1.0 [100, 307, 0, 0, 1.0, 1.0]
500 0.00038962039980106056 1.0 [100, 307, 0, 0, 1.0, 1.0]
600 0.0002406115090707317 1.0 [100, 307, 0, 0, 1.0, 1.0]
700 0.00016589974984526634 1.0 [100, 307, 0, 0, 1.0, 1.0]
800 0.00012194879673188552 1.0 [100, 307, 0, 0, 1.0, 1.0]
900 9.401814168086275e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1000 7.474325684597716e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1100 6.08190348430071e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1200 5.0405382353346795e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1300 4.249221092322841e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1400 3.624504461186007e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1500 3.125185685348697e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1600 2.7162712285644375e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1700 2.3792264983057976e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1800 2.0992025383748114e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
1900 1.8568412997410633e-05 1.0 [100, 307, 0, 0, 1.0, 1.0]
